question,answer_text
What is AC Milan's home ground?,San Siro is AC Milan's home ground.
What is the capacity of San Siro?,"San Siro has a capacity of 80,018."
Who is AC Milan's chairman?,Paolo Scaroni is AC Milan's chairman.
Who is the coach of AC Milan?,Gennaro Gattuso is the coach of AC Milan.
Who is Davide Calabria?,Davide Calabria is a defender for AC Milan.
What position does Davide Calabria play?,Davide Calabria plays as a defender.
How many goals has Davide Calabria scored?,Davide Calabria has scored 2 goals.
How many caps does Davide Calabria have?,Davide Calabria has 64 caps.
How old is Davide Calabria?,Davide Calabria is 23 years old.
What jersey number does Davide Calabria wear?,Davide Calabria wears jersey number 2.
How height is Davide Calabria?,Davide Calabria is 1.77 meters height.
Who is Jose Mauri?,Jose Mauri is a midfielder for AC Milan.
What position does Giacomo Bonaventura play?,Jose Mauri plays as a midfielder.
How many goals has Jose Mauri scored?,Jose Mauri has scored 0 goals.
How many caps does Jose Mauri have?,Jose Mauri has 10 caps.
How old is Jose Mauri?,Jose Mauri is 23 years old.
What jersey number does Jose Mauri wear?,Jose Mauri wears jersey number 4.
How height is Jose Mauri?,Jose Mauri is 1.69 meters height.
Who is Giacomo Bonaventura?,Giacomo Bonaventura is a midfielder for AC Milan.
What position does Giacomo Bonaventura play?,Giacomo Bonaventura plays as a midfielder.
How many goals has Giacomo Bonaventura scored?,Giacomo Bonaventura has scored 27 goals.
How many caps does Giacomo Bonaventura have?,Giacomo Bonaventura has 126 caps.
How old is Giacomo Bonaventura?,Giacomo Bonaventura is 30 years old.
What jersey number does Giacomo Bonaventura wear?,Giacomo Bonaventura wears jersey number 5.
How height is Giacomo Bonaventura?,Giacomo Bonaventura is 1.80 meters height.
Who is Samu Castillejo?,Samu Castillejo is a forward for AC Milan.
What position does Samu Castillejo play?,Samu Castillejo plays as a forward.
How many goals has Samu Castillejo scored?,Samu Castillejo has scored 3 goals.
How many caps does Samu Castillejo have?,Samu Castillejo has 25 caps.
How old is Samu Castillejo?,Samu Castillejo is 24 years old.
What jersey number does Samu Castillejo wear?,Samu Castillejo wears jersey number 7.
How height is Samu Castillejo?,Samu Castillejo is 1.82 meters height.
Who is Suso?,Suso is a forward for AC Milan.
What position does Suso play?,Suso plays as a forward.
How many goals has Suso scored?,Suso has scored 18 goals.
How many caps does Suso have?,Suso has 102 caps.
How old is Suso?,Suso is 26 years old.
What jersey number does Suso wear?,Suso wears jersey number 8.
How height is Suso?,Suso is 1.77 meters height.
Who is Hakan Calhanoglu?,Hakan Calhanoglu is a forward for AC Milan.
What position does Hakan Calhanoglu play?,Hakan Calhanoglu plays as a forward.
How many goals has Hakan Calhanoglu scored?,Hakan Calhanoglu has scored 7 goals.
How many caps does Hakan Calhanoglu have?,Hakan Calhanoglu has 59 caps.
How old is Hakan Calhanoglu?,Hakan Calhanoglu is 25 years old.
What jersey number does Hakan Calhanoglu wear?,Hakan Calhanoglu wears jersey number 10.
How height is Hakan Calhanoglu?,Hakan Calhanoglu is 1.78 meters height.
Who is Fabio Borini?,Fabio Borini is a forward for AC Milan.
What position does Fabio Borini play?,Fabio Borini plays as a forward.
How many goals has Fabio Borini scored?,Fabio Borini has scored 1 goal.
How many caps does Fabio Borini have?,Fabio Borini has 12 caps.
How old is Fabio Borini?,Fabio Borini is 28 years old.
What jersey number does Fabio Borini wear?,Fabio Borini wears jersey number 11.
How height is Fabio Borini?,Fabio Borini is 1.80 meters height.
Who is Andrea Conti?,Andrea Conti is a defender for AC Milan.
What position does Andrea Conti play?,Andrea Conti plays as a defender.
How many goals has Andrea Conti scored?,Andrea Conti has scored 0 goals.
How many caps does Andrea Conti have?,Andrea Conti has 10 caps.
How old is Andrea Conti?,Andrea Conti is 25 years old.
What jersey number does Andrea Conti wear?,Andrea Conti wears jersey number 12.
How height is Andrea Conti?,Andrea Conti is 1.84 meters height.
Who is Alessio Romagnoli?,Alessio Romagnoli is a defender for AC Milan.
What position does Alessio Romagnoli play?,Alessio Romagnoli plays as a defender.
How many goals has Alessio Romagnoli scored?,Alessio Romagnoli has scored 5 goals.
How many caps does Alessio Romagnoli have?,Alessio Romagnoli has 114 caps.
How old is Alessio Romagnoli?,Alessio Romagnoli is 24 years old.
What jersey number does Alessio Romagnoli wear?,Alessio Romagnoli wears jersey number 13.
How height is Alessio Romagnoli?,Alessio Romagnoli is 1.88 meters height.
Who is Tiemoue Bakayoko?,Tiemoue Bakayoko is a midfielder for AC Milan.
What position does Tiemoue Bakayoko play?,Tiemoue Bakayoko plays as a midfielder.
How many goals has Tiemoue Bakayoko scored?,Tiemoue Bakayoko has scored 1 goal.
