original_answer
San Siro is AC Milan's home ground.
"San Siro has a capacity of 80,018."
Paolo Scaroni is AC Milan's chairman.
Gennaro Gattuso is the coach of AC Milan.
Davide Calabria is a defender for AC Milan.
Davide Calabria plays as a defender.
Davide Calabria has scored 2 goals.
Davide Calabria has 64 caps.
Davide Calabria is 23 years old.
Davide Calabria wears jersey number 2.
Davide Calabria is 1.77 meters height.
Jose Mauri is a midfielder for AC Milan.
Jose Mauri plays as a midfielder.
Jose Mauri has scored 0 goals.
Jose Mauri has 10 caps.
Jose Mauri is 23 years old.
Jose Mauri wears jersey number 4.
Jose Mauri is 1.69 meters height.
Giacomo Bonaventura is a midfielder for AC Milan.
Giacomo Bonaventura plays as a midfielder.
Giacomo Bonaventura has scored 27 goals.
Giacomo Bonaventura has 126 caps.
Giacomo Bonaventura is 30 years old.
Giacomo Bonaventura wears jersey number 5.
Giacomo Bonaventura is 1.80 meters height.
Samu Castillejo is a forward for AC Milan.
Samu Castillejo plays as a forward.
Samu Castillejo has scored 3 goals.
Samu Castillejo has 25 caps.
Samu Castillejo is 24 years old.
Samu Castillejo wears jersey number 7.
Samu Castillejo is 1.82 meters height.
Suso is a forward for AC Milan.
Suso plays as a forward.
Suso has scored 18 goals.
Suso has 102 caps.
Suso is 26 years old.
Suso wears jersey number 8.
Suso is 1.77 meters height.
Hakan Calhanoglu is a forward for AC Milan.
Hakan Calhanoglu plays as a forward.
Hakan Calhanoglu has scored 7 goals.
Hakan Calhanoglu has 59 caps.
Hakan Calhanoglu is 25 years old.
Hakan Calhanoglu wears jersey number 10.
Hakan Calhanoglu is 1.78 meters height.
Fabio Borini is a forward for AC Milan.
Fabio Borini plays as a forward.
Fabio Borini has scored 1 goal.
Fabio Borini has 12 caps.
Fabio Borini is 28 years old.
Fabio Borini wears jersey number 11.
Fabio Borini is 1.80 meters height.
Andrea Conti is a defender for AC Milan.
Andrea Conti plays as a defender.
Andrea Conti has scored 0 goals.
Andrea Conti has 10 caps.
Andrea Conti is 25 years old.
Andrea Conti wears jersey number 12.
Andrea Conti is 1.84 meters height.
Alessio Romagnoli is a defender for AC Milan.
Alessio Romagnoli plays as a defender.
Alessio Romagnoli has scored 5 goals.
Alessio Romagnoli has 114 caps.
Alessio Romagnoli is 24 years old.
Alessio Romagnoli wears jersey number 13.
Alessio Romagnoli is 1.88 meters height.
Tiemoue Bakayoko is a midfielder for AC Milan.
Tiemoue Bakayoko plays as a midfielder.
Tiemoue Bakayoko has scored 1 goal.
Tiemoue Bakayoko has 24 caps.
Tiemoue Bakayoko is 25 years old.
Tiemoue Bakayoko wears jersey number 14.
Tiemoue Bakayoko is 1.89 meters height.
Andrea Bertolacci is a midfielder for AC Milan.
Andrea Bertolacci plays as a midfielder.
Andrea Bertolacci has scored 2 goals.
Andrea Bertolacci has 44 caps.
Andrea Bertolacci is 28 years old.
Andrea Bertolacci wears jersey number 16.
Andrea Bertolacci is 1.79 meters height.
Cristian Zapata is a defender for AC Milan.
Cristian Zapata plays as a defender.
Cristian Zapata has scored 3 goals.
Cristian Zapata has 108 caps.
Cristian Zapata is 33 years old.
Cristian Zapata wears jersey number 17.
Cristian Zapata is 1.87 meters height.
Riccardo Montolivo is a midfielder for AC Milan.
Riccardo Montolivo plays as a midfielder.
Riccardo Montolivo has scored 8 goals.
Riccardo Montolivo has 129 caps.
Riccardo Montolivo is 34 years old.
Riccardo Montolivo wears jersey number 18.
Riccardo Montolivo is 1.82 meters height.
Krzysztof Piatek is a forward for AC Milan.
Krzysztof Piatek plays as a forward.
Krzysztof Piatek has scored 7 goals.
Krzysztof Piatek has 10 caps.
Krzysztof Piatek is 24 years old.
Krzysztof Piatek wears jersey number 19.
Krzysztof Piatek is 1.83 meters height.
Ignazio Abate is a defender for AC Milan.
Ignazio Abate plays as a defender.
Ignazio Abate has scored 3 goals.
Ignazio Abate has 239 caps.
Ignazio Abate is 33 years old.
Ignazio Abate wears jersey number 20.
Ignazio Abate is 1.80 meters height.
Lucas Biglia is a midfielder for AC Milan.
Lucas Biglia plays as a midfielder.
Lucas Biglia has scored 2 goals.
Lucas Biglia has 42 caps.
Lucas Biglia is 33 years old.
Lucas Biglia wears jersey number 21.
Lucas Biglia is 1.78 meters height.
Mateo Musacchio is a defender for AC Milan.
Mateo Musacchio plays as a defender.
Mateo Musacchio has scored 1 goal
Arsenal's home ground is the Emirates Stadium.
"The Emirates Stadium has a capacity of 60,260."
The chairman of Arsenal is Sir Chips Keswick.
Unai Emery was the coach of Arsenal.
Bernd Leno is Arsenal's goalkeeper.
Bernd Leno plays as a goalkeeper.
Bernd Leno has scored 0 goals for Arsenal.
Bernd Leno has 32 caps.
"Bernd Leno was date of birth on March 4, 1992."
Bernd Leno wears jersey number 1.
Bernd Leno is 1.90 meters height.
Hector Bellerin is a defender for Arsenal.
Hector Bellerin has scored 6 goals.
Hector Bellerin has 143 caps.
"Hector Bellerin was date of birth on March 19, 1995."
Hector Bellerin wears jersey number 2.
Hector Bellerin is 1.78 meters height.
Mohamed Elneny plays as a midfielder for Arsenal.
Mohamed Elneny has scored 0 goals.
Mohamed Elneny has 46 caps.
"Mohamed Elneny was date of birth on July 11, 1992."
Mohamed Elneny wears jersey number 4.
Mohamed Elneny is 1.80 meters height.
Sokratis Papastathopoulos is a defender for Arsenal.
Sokratis Papastathopoulos has scored 1 goal.
Sokratis Papastathopoulos has 25 caps.
"Sokratis Papastathopoulos was date of birth on June 9, 1988."
Sokratis Papastathopoulos wears jersey number 5.
Sokratis Papastathopoulos is 1.86 meters height.
Laurent Koscielny is a well-known French defender for Arsenal.
Laurent Koscielny has scored 22 goals.
Laurent Koscielny has 255 caps.
"Laurent Koscielny was date of birth on September 10, 1985."
Laurent Koscielny wears jersey number 6.
Laurent Koscielny is 1.86 meters height.
Henrikh Mkhitaryan is a midfielder from Armenia who plays for Arsenal.
Henrikh Mkhitaryan has scored 8 goals.
Henrikh Mkhitaryan has 36 caps.
"Henrikh Mkhitaryan was date of birth on January 21, 1989."
Henrikh Mkhitaryan wears jersey number 7.
Henrikh Mkhitaryan is 1.77 meters height.
Alexandre Lacazette is a forward for Arsenal.
Alexandre Lacazette has scored 27 goals.
Alexandre Lacazette has 67 caps.
"Alexandre Lacazette was date of birth on May 28, 1991."
Alexandre Lacazette wears jersey number 9.
Alexandre Lacazette is 1.75 meters height.
Mesut Ozil is a German midfielder playing for Arsenal.
Mesut Ozil has scored 32 goals.
Mesut Ozil has 166 caps.
"Mesut Ozil was date of birth on October 15, 1988."
Mesut Ozil wears jersey number 10.
Mesut Ozil is 1.83 meters height.
Lucas Torreira is a Uruguayan midfielder in Arsenal's squad.
Lucas Torreira has scored 2 goals.
Lucas Torreira has 34 caps.
Lucas Torreira was date of birth on February
Atletico Madrid's home ground is the Wanda Metropolitano.
"The Wanda Metropolitano has a capacity of 67,703."
The chairman of Atletico Madrid is Enrique Cerezo.
The head coach of Atletico Madrid is Diego Simeone.
Jose Gimenez is a defender for Atletico Madrid.
Jose Gimenez plays as a defender.
Jose Gimenez has scored 3 goals.
Jose Gimenez has 109 caps.
"Jose Gimenez was date of birth on January 20, 1995."
Jose Gimenez wears jersey number 2.
Jose Gimenez is 1.85 meters height.
Santiago Arias is another defender for Atletico Madrid.
Santiago Arias has scored 1 goal.
Santiago Arias has 25 caps.
"Santiago Arias was date of birth on January 13, 1992."
Santiago Arias wears jersey number 4.
Santiago Arias is 1.78 meters height.
Thomas Partey is a midfielder in the Atletico Madrid squad.
Thomas Partey has scored 9 goals.
Thomas Partey has 94 caps.
"Thomas Partey was date of birth on June 13, 1993."
Thomas Partey wears jersey number 5.
Thomas Partey is 1.85 meters height.
Koke is another midfielder for Atletico Madrid.
Koke has scored 31 goals.
Koke has 285 caps.
"Koke was date of birth on January 8, 1992."
Koke wears jersey number 6.
Koke is 1.76 meters height.
Alvaro Morata is a forward for Atletico Madrid.
Alvaro Morata has scored 6 goals.
Alvaro Morata has 15 caps.
"Alvaro Morata was date of birth on October 23, 1992."
Alvaro Morata wears jersey number 9.
Alvaro Morata is 1.89 meters height.
Angel Correa is another forward for Atletico Madrid.
Angel Correa has scored 20 goals.
Angel Correa has 130 caps.
"Angel Correa was date of birth on March 9, 1995."
Angel Correa wears jersey number 10.
