question,answer,predicted_kg_response,predicted_qa_response
What is AC Milan's home ground?,San Siro is AC Milan's home ground.,San Siro,San Siro
What is the capacity of San Siro?,"San Siro has a capacity of 80,018.","80,018","80,018"
Who is AC Milan's chairman?,Paolo Scaroni is AC Milan's chairman.,Paolo Scaroni,Paolo Scaroni
Who is the coach of AC Milan?,Gennaro Gattuso is the coach of AC Milan.,Gennaro Gattuso,Gennaro Gattuso
Who is Davide Calabria?,Davide Calabria is a defender for AC Milan.,A defender for AC Milan,A defender for AC Milan
What position does Davide Calabria play?,Davide Calabria plays as a defender.,Defender,Defender
How many goals has Davide Calabria scored?,Davide Calabria has scored 2 goals.,2,2
How many caps does Davide Calabria have?,Davide Calabria has 64 caps.,64,64
How old is Davide Calabria?,Davide Calabria is 23 years old.,23,23
What jersey number does Davide Calabria wear?,Davide Calabria wears jersey number 2.,2,2
How height is Davide Calabria?,Davide Calabria is 1.77 meters height.,1.77 meters,1.77 meters
Who is Jose Mauri?,Jose Mauri is a midfielder for AC Milan.,A midfielder for AC Milan,A midfielder for AC Milan
What position does Giacomo Bonaventura play?,Jose Mauri plays as a midfielder.,Midfielder,Midfielder
How many goals has Jose Mauri scored?,Jose Mauri has scored 0 goals.,0,0
How many caps does Jose Mauri have?,Jose Mauri has 10 caps.,10,10
How old is Jose Mauri?,Jose Mauri is 23 years old.,23,23
What jersey number does Jose Mauri wear?,Jose Mauri wears jersey number 4.,4,4
How height is Jose Mauri?,Jose Mauri is 1.69 meters height.,1.69 meters,1.69 meters
Who is Giacomo Bonaventura?,Giacomo Bonaventura is a midfielder for AC Milan.,A midfielder for AC Milan,A midfielder for AC Milan
What position does Giacomo Bonaventura play?,Giacomo Bonaventura plays as a midfielder.,Midfielder,Midfielder
How many goals has Giacomo Bonaventura scored?,Giacomo Bonaventura has scored 27 goals.,27,27
How many caps does Giacomo Bonaventura have?,Giacomo Bonaventura has 126 caps.,126,126
How old is Giacomo Bonaventura?,Giacomo Bonaventura is 30 years old.,30,30
What jersey number does Giacomo Bonaventura wear?,Giacomo Bonaventura wears jersey number 5.,5,5
How height is Giacomo Bonaventura?,Giacomo Bonaventura is 1.80 meters height.,1.80 meters,1.80 meters
Who is Samu Castillejo?,Samu Castillejo is a forward for AC Milan.,A forward for AC Milan,A forward for AC Milan
What position does Samu Castillejo play?,Samu Castillejo plays as a forward.,Forward,Forward
How many goals has Samu Castillejo scored?,Samu Castillejo has scored 3 goals.,3,3
How many caps does Samu Castillejo have?,Samu Castillejo has 25 caps.,25,25
How old is Samu Castillejo?,Samu Castillejo is 24 years old.,24,none
What jersey number does Samu Castillejo wear?,Samu Castillejo wears jersey number 7.,7,7
How height is Samu Castillejo?,Samu Castillejo is 1.82 meters height.,1.82 meters,1.82 meters
Who is Suso?,Suso is a forward for AC Milan.,A forward for AC Milan,A forward for AC Milan
What position does Suso play?,Suso plays as a forward.,Forward,Forward
How many goals has Suso scored?,Suso has scored 18 goals.,18,18
How many caps does Suso have?,Suso has 102 caps.,102,102
How old is Suso?,Suso is 26 years old.,26,26
What jersey number does Suso wear?,Suso wears jersey number 8.,8,8
How height is Suso?,Suso is 1.77 meters height.,1.77 meters,1.77 meters
Who is Hakan Calhanoglu?,Hakan Calhanoglu is a forward for AC Milan.,A forward for AC Milan,A forward for AC Milan
What position does Hakan Calhanoglu play?,Hakan Calhanoglu plays as a forward.,Forward,Forward
How many goals has Hakan Calhanoglu scored?,Hakan Calhanoglu has scored 7 goals.,7,7
How many caps does Hakan Calhanoglu have?,Hakan Calhanoglu has 59 caps.,59,59
How old is Hakan Calhanoglu?,Hakan Calhanoglu is 25 years old.,25,25
What jersey number does Hakan Calhanoglu wear?,Hakan Calhanoglu wears jersey number 10.,10,10
How height is Hakan Calhanoglu?,Hakan Calhanoglu is 1.78 meters height.,1.78 meters,1.78 meters
Who is Fabio Borini?,Fabio Borini is a forward for AC Milan.,A forward for AC Milan,A forward for AC Milan
What position does Fabio Borini play?,Fabio Borini plays as a forward.,Forward,Forward
How many goals has Fabio Borini scored?,Fabio Borini has scored 1 goal.,1,1
How many caps does Fabio Borini have?,Fabio Borini has 12 caps.,12,12
How old is Fabio Borini?,Fabio Borini is 28 years old.,28,28
What jersey number does Fabio Borini wear?,Fabio Borini wears jersey number 11.,11,11
How height is Fabio Borini?,Fabio Borini is 1.80 meters height.,1.80 meters,1.80 meters
Who is Andrea Conti?,Andrea Conti is a defender for AC Milan.,A defender for AC Milan,A defender for AC Milan
What position does Andrea Conti play?,Andrea Conti plays as a defender.,Defender,Defender
How many goals has Andrea Conti scored?,Andrea Conti has scored 0 goals.,0,0
How many caps does Andrea Conti have?,Andrea Conti has 10 caps.,10,10
How old is Andrea Conti?,Andrea Conti is 25 years old.,25,25
What jersey number does Andrea Conti wear?,Andrea Conti wears jersey number 12.,12,12
How height is Andrea Conti?,Andrea Conti is 1.84 meters height.,1.84 meters,1.84 meters
Who is Alessio Romagnoli?,Alessio Romagnoli is a defender for AC Milan.,A defender for AC Milan,A defender for AC Milan
What position does Alessio Romagnoli play?,Alessio Romagnoli plays as a defender.,Defender,Defender
How many goals has Alessio Romagnoli scored?,Alessio Romagnoli has scored 5 goals.,5,5
How many caps does Alessio Romagnoli have?,Alessio Romagnoli has 114 caps.,114,114
How old is Alessio Romagnoli?,Alessio Romagnoli is 24 years old.,24,24
What jersey number does Alessio Romagnoli wear?,Alessio Romagnoli wears jersey number 13.,13,13
How height is Alessio Romagnoli?,Alessio Romagnoli is 1.88 meters height.,1.88 meters,1.88 meters
Who is Tiemoue Bakayoko?,Tiemoue Bakayoko is a midfielder for AC Milan.,A midfielder for AC Milan,A midfielder for AC Milan
What position does Tiemoue Bakayoko play?,Tiemoue Bakayoko plays as a midfielder.,Midfielder,Midfielder
How many goals has Tiemoue Bakayoko scored?,Tiemoue Bakayoko has scored 1 goal.,1,1
How many caps does Tiemoue Bakayoko have?,Tiemoue Bakayoko has 24 caps.,24,24
How old is Tiemoue Bakayoko?,Tiemoue Bakayoko is 25 years old.,25,25
What jersey number does Tiemoue Bakayoko wear?,Tiemoue Bakayoko wears jersey number 14.,14,14
How height is Tiemoue Bakayoko?,Tiemoue Bakayoko is 1.89 meters height.,1.89 meters,1.89 meters
Who is Andrea Bertolacci?,Andrea Bertolacci is a midfielder for AC Milan.,A midfielder for AC Milan,A midfielder for AC Milan
What position does Andrea Bertolacci play?,Andrea Bertolacci plays as a midfielder.,Midfielder,Midfielder
How many goals has Andrea Bertolacci scored?,Andrea Bertolacci has scored 2 goals.,2,2
How many caps does Andrea Bertolacci have?,Andrea Bertolacci has 44 caps.,44,44
How old is Andrea Bertolacci?,Andrea Bertolacci is 28 years old.,28,28
What jersey number does Andrea Bertolacci wear?,Andrea Bertolacci wears jersey number 16.,16,16
How height is Andrea Bertolacci?,Andrea Bertolacci is 1.79 meters height.,1.79 meters,1.79 meters
Who is Cristian Zapata?,Cristian Zapata is a defender for AC Milan.,A defender for AC Milan,A defender for AC Milan
What position does Cristian Zapata play?,Cristian Zapata plays as a defender.,Defender,Defender
How many goals has Cristian Zapata scored?,Cristian Zapata has scored 3 goals.,3,3
How many caps does Cristian Zapata have?,Cristian Zapata has 108 caps.,108,108
How old is Cristian Zapata?,Cristian Zapata is 33 years old.,33,33
What jersey number does Cristian Zapata wear?,Cristian Zapata wears jersey number 17.,17,17
How height is Cristian Zapata?,Cristian Zapata is 1.87 meters height.,1.87 meters,1.87 meters
Who is Riccardo Montolivo?,Riccardo Montolivo is a midfielder for AC Milan.,A midfielder for AC Milan,A midfielder for AC Milan
What position does Riccardo Montolivo play?,Riccardo Montolivo plays as a midfielder.,Midfielder,Midfielder
How many goals has Riccardo Montolivo scored?,Riccardo Montolivo has scored 8 goals.,8,8
How many caps does Riccardo Montolivo have?,Riccardo Montolivo has 129 caps.,129,129
How old is Riccardo Montolivo?,Riccardo Montolivo is 34 years old.,34,34
What jersey number does Riccardo Montolivo wear?,Riccardo Montolivo wears jersey number 18.,18,18
How height is Riccardo Montolivo?,Riccardo Montolivo is 1.82 meters height.,1.82 meters,1.82 meters
Who is Krzysztof Piatek?,Krzysztof Piatek is a forward for AC Milan.,A forward for AC Milan,A forward for AC Milan
What position does Krzysztof Piatek play?,Krzysztof Piatek plays as a forward.,Forward,Forward
How many goals has Krzysztof Piatek scored?,Krzysztof Piatek has scored 7 goals.,7,7
How many caps does Krzysztof Piatek have?,Krzysztof Piatek has 10 caps.,10,10
How old is Krzysztof Piatek?,Krzysztof Piatek is 24 years old.,24,24
What jersey number does Krzysztof Piatek wear?,Krzysztof Piatek wears jersey number 19.,19,19
How height is Krzysztof Piatek?,Krzysztof Piatek is 1.83 meters height.,1.83m,1.83m
Who is Ignazio Abate?,Ignazio Abate is a defender for AC Milan.,Defender,Defender
What position does Ignazio Abate play?,Ignazio Abate plays as a defender.,Defender,Defender
How many goals has Ignazio Abate scored?,Ignazio Abate has scored 3 goals.,3,3
How many caps does Ignazio Abate have?,Ignazio Abate has 239 caps.,239,239
How old is Ignazio Abate?,Ignazio Abate is 33 years old.,33,33
What jersey number does Ignazio Abate wear?,Ignazio Abate wears jersey number 20.,20,20
How height is Ignazio Abate?,Ignazio Abate is 1.80 meters height.,1.80m,1.80m
Who is Lucas Biglia?,Lucas Biglia is a midfielder for AC Milan.,Midfielder,Midfielder
What position does Lucas Biglia play?,Lucas Biglia plays as a midfielder.,Midfielder,Midfielder
How many goals has Lucas Biglia scored?,Lucas Biglia has scored 2 goals.,2,2
How many caps does Lucas Biglia have?,Lucas Biglia has 42 caps.,42,42
How old is Lucas Biglia?,Lucas Biglia is 33 years old.,33,33
What jersey number does Lucas Biglia wear?,Lucas Biglia wears jersey number 21.,21,21
How height is Lucas Biglia?,Lucas Biglia is 1.78 meters height.,1.78m,1.78m
Who is Mateo Musacchio?,Mateo Musacchio is a defender for AC Milan.,Defender,Defender
